ProductID,Description,Size,Volume,Classification
24510,Tin Barn Svgn B Hi Vista Vyd,750mL,750.0,2
24512,Tin Barn Cab Svgn Sonoma Cty,750mL,750.0,2
24513,R8 Cab Svgn,750mL,750.0,2
24514,R8 Chard,750mL,750.0,2
24563,Hey Mambo Sultry Red,750mL,750.0,2
24571,Oko Organic Prosecco,750mL,750.0,2
24584,Moshin Vyds Pnt Nr Est Grown,750mL,750.0,2
24596,Pitagora Red Blend,750mL,750.0,2
24615,Pieropan Soave La Rocca,750mL,750.0,2
24627,SMV SMV Blustery Blend White,750mL,750.0,2
24643,Kibo Junmai Sake,180mL,180.0,2
24710,Onix Classic Priorat,750mL,750.0,2
24712,Ennuk Red Terra Alta,750mL,750.0,2
24717,Merum Monastrell Jumilla,750mL,750.0,2
24769,Bellefleur Malbec Brut Rose,750mL,750.0,2
24773,Actum Sinister,750mL,750.0,2
24783,Bagordi Crianza Rioja,750mL,750.0,2
24951,Jackhammer Pnt Nr,750mL,750.0,2
25117,Zuccardi Q Malbec,750mL,750.0,2
25118,Foxglove Cab Svgn,750mL,750.0,2
25120,Foxglove Chard,750mL,750.0,2
25133,Vendange Chard,187mL 4 Pk,187.0,2
25148,McNab Ridge Petite Sirah,750mL,750.0,2
25150,McNab Ridge Cab Svgn,750mL,750.0,2
25151,Fred's Red Mendocino County,750mL,750.0,2
25153,Veuve du Vernay Sparkling Ro,187mL,187.0,2
25195,Ch Brane-Cantenac Margaux 01,750mL,750.0,2
25201,Ch Croix de Jaugue St Emilio,750mL,750.0,2
25224,G Ferrer Etesian Pnt Nr,750mL,750.0,2
25226,Il Molino di Grace Chianti C,750mL,750.0,2
25244,M Sullberg Cab Svgn,750mL,750.0,2
25246,M Sullberg Chard,750mL,750.0,2
25270,Cantine Maschio Sparkling Ro,187mL,187.0,2
25273,Kir-Yianni Paranga VdP Maced,750mL,750.0,2
25275,Zoe Red by D Skouras,750mL,750.0,2
25301,Barrique Pnt Nr,750mL,750.0,2
25302,Barrique Chard,750mL,750.0,2
25304,Cyprus Pnt Nr,750mL,750.0,2
25305,Cyprus Chard,750mL,750.0,2
25306,Cyprus Cab Svgn,750mL,750.0,2
25310,A la Carte White,750mL,750.0,2
25317,Grammercy Cellars Cab Svgn,750mL,750.0,2
25321,Capeside Cellars Svgn Blanc,750mL,750.0,2
25324,Gran Moraine Y-C Pnt Nr Oreg,750mL,750.0,2
25325,Gran Moraine Y-C Chard OR,750mL,750.0,2
25327,Siduri Pnt Nr RRV,750mL,750.0,2
25334,Masseria Prosecco,750mL,750.0,2
25349,Merlo Family Vyds Chard,750mL,750.0,2
25352,Cecchi Chianti DOCG,750mL,750.0,2
25355,Bench Chardonnay,750mL,750.0,2
25356,Bench Pnt Nr,750mL,750.0,2
25357,Bench Cab Svgn,750mL,750.0,2
25361,Honig Cab Svgn,375mL,375.0,2
25371,Alexander Vly Vyds Cab Svgn,375mL,375.0,2
25430,Schlink Haus Rsl Auslese,750mL,750.0,2
25431,Schlink Haus Rsl Kabinett,750mL,750.0,2
25449,San Guido Sassacaia,1.5L,1500.0,2
25468,Run Riot Pnt Nr,750mL,750.0,2
25478,Estro d Piona Sparkling Rose,750mL,750.0,2
25493,Lunadoro Toscana Memoria IGT,750mL,750.0,2
25517,Match Book Lake Cnty Cab Svg,750mL,750.0,2
25542,Dom des Chasseignes Sancerre,750mL,750.0,2
25545,Miolo  Lote 43,750mL,750.0,2
25553,Billecart-Salmon Blanc de Bl,750mL,750.0,2
25559,Marquis de la Tour Brut,187mL,187.0,2
25591,Sauska Aszu Essencia,375mL,375.0,2
25592,Writer's Block 12 Lake Count,750mL,750.0,2
25593,Virginia Dare Pnt Nr RRV,750mL,750.0,2
25596,Kettmeir Muller Thurgau Alto,750mL,750.0,2
25604,Ramey Annum Cab Svgn Napa,750mL,750.0,2
25606,Hoopla Chardonnay,750mL,750.0,2
25618,W Hill Est Bench Blend Napa,750mL,750.0,2
25710,Edna Valley Paragon Pnt Grig,750mL,750.0,2
25724,Storypoint Chardonnay,750mL,750.0,2
